filename,query,gold-text
"['AIBrix_ Towards Scalable_ Cost-Effective Large Language Model Inference   Infras.txt']","What is the main goal of AIBrix-like inference infrastructure proposals?","('They aim to provide scalable, cost-effective LLM inference through hybrid caching, request routing, and efficient model serving to reduce latency and cost at scale.',)"
"['Apt-Serve_ Adaptive Request Scheduling on Hybrid Cache for Scalable LLM   Infere.txt']","What does adaptive request scheduling in hybrid cache systems optimize?","('Adaptive scheduling selects which cache tier (hot model shards, KV cache, or backing store) to use per request to balance latency and throughput while minimizing expensive memory accesses.',)"
"['attention.txt']","What is the scaled dot-product attention formula?","('Scaled dot-product attention computes softmax((QK^T)/sqrt(d_k)) V, where Q,K,V are query/key/value matrices and d_k is key dimension for scaling.',)"
"['backends.txt']","Why does backend choice matter for deep learning workloads?","('Backends determine kernel implementations, memory layouts, and hardware-specific optimizations; selecting or tuning backends impacts performance, numerical behavior, and available features.',)"
"['Balanced and Elastic End-to-end Training of Dynamic LLMs.txt']","What does 'elastic training' refer to in dynamic LLM training?","('Elastic training adapts compute and model partitioning during training to changing resource availability, enabling balanced throughput while scaling across variable resources.',)"
"['bottleneck.txt']","What is a system 'bottleneck' and how is it diagnosed?","('A bottleneck is the system component (CPU, GPU, memory, I/O, network) limiting throughput. It is diagnosed using profiling metrics, utilization traces, and targeted microbenchmarks.',)"
"['checkpoint.txt']","Why are checkpoints important in large-scale training?","('Checkpoints save model weights, optimizer state, and training metadata to enable recovery from failures, resume training, and enable analysis and reproducibility.',)"
"['cmu_llmsys-01-intro.txt']","What topics are covered in an LLM systems course introduction?","('Introductions cover LLM history, system-level challenges (scaling, latency, cost), and high-level architectures for training and serving large models.',)"
"['cmu_llmsys-02-gpu-programming.txt']","What GPU programming considerations are important for ML kernels?","('Considerations include memory hierarchy (registers, shared memory, HBM), occupancy, kernel fusion, and minimizing global memory traffic for performance.',)"
"['cmu_llmsys-03-gpu-programming2.txt']","How do kernel launches and synchronization affect GPU performance?","('Frequent small kernel launches and excessive synchronization reduce utilization; fusing kernels and overlapping compute with communication improves throughput.',)"
"['cmu_llmsys-04-autodiff.txt']","How does automatic differentiation compute gradients?","('Autodiff constructs a computation graph and applies the chain rule (reverse-mode/backprop) to compute gradients efficiently by traversing the graph backward.',)"
"['cmu_llmsys-05-dl-framework.txt']","What distinguishes dynamic vs static computation graphs?","('Dynamic graphs (e.g., PyTorch eager) build computation at runtime enabling native control flow; static graphs (e.g., older TF graph mode) are compiled ahead for optimizations.',)"
"['cmu_llmsys-06-transformer.txt']","What implementation detail is key for efficient transformer attention?","('Key details include memory-efficient attention kernels, fused softmax/dropout, and blocking to exploit on-chip memory and minimize HBM transfers.',)"
"['cmu_llmsys-07-llms.txt']","What system-level challenges do LLMs present?","('Challenges include model parallelism, memory capacity, serving latency, cost-efficient inference, and data pipeline scaling for training.',)"
"['cmu_llmsys-08-tokenization.txt']","Why is subword tokenization (e.g., BPE) used for LLMs?","('Subword tokenization balances vocabulary size and expressive power, handling rare/unknown words while keeping sequence lengths reasonable.',)"
"['cmu_llmsys-09-decoding.txt']","What are typical decoding strategies for autoregressive models?","('Greedy decoding, beam search, top-k/top-p sampling, and temperature scaling are common strategies balancing quality and diversity.',)"
"['cmu_llmsys-10-gpu-acceleration.txt']","How do GPUs accelerate deep learning?","('GPUs accelerate dense parallel linear algebra via many-core SIMD-like execution, high memory bandwidth, and specialized libraries (cuBLAS, cuDNN).',)"
"['cmu_llmsys-11-transformer-acc.txt']","Name one kernel-level optimization for transformer acceleration.","('Fusing QKV projections and attention softmax into a single CUDA kernel to reduce memory traffic and kernel overhead.',)"
"['cmu_llmsys-13-distributed-training.txt']","What are the main distributed training paradigms?","('Data parallelism, model (tensor) parallelism, pipeline/sharded approaches, and hybrid combinations are the main paradigms for scaling training.',)"
"['cmu_llmsys-14-ddp.txt']","What does PyTorch DDP (DistributedDataParallel) provide?","('DDP wraps models to replicate parameters across processes and performs efficient gradient synchronization across ranks for synchronous data-parallel training.',)"
"['cmu_llmsys-15-model-parallel.txt']","Why use model parallelism?","('Model parallelism splits very large model parameters across devices when a single device lacks memory to hold the full model.',)"
"['cmu_llmsys-15-serving.txt']","What is a key concern when serving LLMs at scale?","('Balancing latency and throughput via batching, caching, and efficient kernel selection while managing cost and memory usage.',)"
"['cmu_llmsys-16-quantization.txt']","What is post-training quantization and its primary downside?","('Post-training quantization maps FP32 weights to lower precision (INT8/4) without retraining; downside is potential accuracy degradation, especially without per-channel or outlier handling.',)"
"['cmu_llmsys-17-quantization2.txt']","How does GPTQ differ from naive quantization?","('GPTQ performs layer-wise quantization with error compensation and optimized scaling to quantize large language models to very low bit widths (3–4 bits) with small accuracy loss.',)"
"['cmu_llmsys-18-peft.txt']","What is PEFT and why is it useful?","('Parameter-Efficient Fine-Tuning (PEFT) updates a small subset of parameters (adapters, LoRA, etc.) to adapt large models with low compute and storage cost.',)"
"['cmu_llmsys-19-MoE.txt']","What challenge does MoE address and what's a routing concern?","('MoE increases capacity via experts, but routing must balance expert load and communication cost; load imbalance and routing overhead are key concerns.',)"
"['cmu_llmsys-20-FlashAttention_tridao.txt']","What benefit does FlashAttention provide for variable-length sequences?","('FlashAttention reduces memory movement and enables faster attention computation by being IO-aware and using fused kernels, benefiting variable-length workloads when implemented efficiently.',)"
"['cmu_llmsys-21-zero.txt']","What is ZeRO's key insight for memory reduction?","('ZeRO shards optimizer and gradient state across ranks, distributing memory footprint to allow larger model training per GPU.',)"
